,0,1,2
219,0.69,0.31,0.0
220,0.22,0.23,0.55
221,0.55,0.37,0.08
222,0.0,0.0,1.0
223,0.49,0.5,0.01
224,0.49,0.51,0.0
225,0.39,0.42,0.19
226,0.0,0.0,1.0
227,0.53,0.42,0.05
228,0.6,0.4,0.0
229,0.15,0.22,0.63
230,0.53,0.42,0.05
231,0.16,0.11,0.73
232,0.15,0.84,0.01
233,0.0,0.0,1.0
234,0.0,0.0,1.0
235,0.59,0.41,0.0
236,0.16,0.11,0.73
237,0.0,0.0,1.0
238,0.21,0.12,0.67
239,0.0,0.0,1.0
240,0.19,0.79,0.02
241,0.24,0.76,0.0
242,0.08,0.82,0.1
243,0.25,0.71,0.04
244,0.6,0.37,0.03
245,0.0,0.0,1.0
246,0.0,0.0,1.0
247,0.68,0.31,0.01
248,0.58,0.4,0.02
249,0.0,0.0,1.0
250,0.55,0.45,0.0
251,0.58,0.4,0.02
252,0.37,0.44,0.19
253,0.68,0.32,0.0
254,0.07,0.19,0.74
255,0.0,0.0,1.0
256,0.53,0.45,0.02
257,0.0,0.0,1.0
258,0.1,0.9,0.0
259,0.56,0.44,0.0
260,0.07,0.18,0.75
261,0.16,0.12,0.72
262,0.0,0.0,1.0
263,0.14,0.29,0.57
264,0.0,0.0,1.0
265,0.28,0.65,0.07
266,0.22,0.23,0.55
267,0.0,0.0,1.0
268,0.17,0.75,0.08
269,0.0,0.0,1.0
270,0.07,0.85,0.08
271,0.09,0.89,0.02
272,0.2,0.78,0.02
273,0.57,0.43,0.0
274,0.1,0.83,0.07
275,0.14,0.83,0.03
276,0.17,0.27,0.56
277,0.08,0.37,0.55
278,0.77,0.23,0.0
279,0.22,0.78,0.0
280,0.06,0.14,0.8
281,0.14,0.86,0.0
282,0.23,0.76,0.01
283,0.0,0.0,1.0
284,0.27,0.71,0.02
285,0.58,0.39,0.03
286,0.29,0.7,0.01
287,0.37,0.59,0.04
288,0.0,0.0,1.0
289,0.0,0.0,1.0
290,0.28,0.72,0.0
291,0.57,0.39,0.04
292,0.51,0.47,0.02
293,0.03,0.03,0.94
294,0.1,0.04,0.86
295,0.54,0.43,0.03
296,0.0,0.0,1.0
297,0.63,0.36,0.01
298,0.32,0.68,0.0
299,0.0,0.0,1.0
300,0.3,0.51,0.19
301,0.0,0.0,1.0
302,0.68,0.3,0.02
303,0.0,0.0,1.0
304,0.0,0.0,1.0
305,0.0,0.0,1.0
306,0.55,0.44,0.01
307,0.42,0.57,0.01
308,0.0,0.0,1.0
309,0.0,0.0,1.0
310,0.0,0.0,1.0
311,0.0,0.0,1.0
312,0.34,0.44,0.22
313,0.59,0.41,0.0
314,0.22,0.08,0.7
315,0.0,0.0,1.0
316,0.67,0.33,0.0
317,0.46,0.5,0.04
318,0.05,0.95,0.0
319,0.57,0.43,0.0
320,0.0,0.0,1.0
321,0.15,0.71,0.14
322,0.14,0.28,0.58
323,0.07,0.13,0.8
324,0.06,0.94,0.0
325,0.72,0.27,0.01
326,0.4,0.44,0.16
327,0.14,0.85,0.01
328,0.33,0.14,0.53
329,0.0,0.0,1.0
330,0.12,0.22,0.66
331,0.0,0.0,1.0
332,0.0,0.0,1.0
333,0.0,0.0,1.0
334,0.0,0.0,1.0
335,0.73,0.26,0.01
336,0.35,0.6,0.05
337,0.17,0.79,0.04
338,0.43,0.56,0.01
339,0.71,0.29,0.0
340,0.17,0.78,0.05
